Bignoniaceae Campsis,trumpetcreeper,w,any,full sun,orange,moist,5,20,6,Whitemarked Tussock Moth
Brassicaceae Cardamine,bittercress,h,any,full sun,green,moist,3,6,2,Pink-Patched Loper moth
Cyperaceae Carex,sedge,h,any,full sun,green,moist,1,6,19,Appalachian Brown butterfly
Betulaceae Carpinus,American hornbeam,w,clay,any,orange,wet,30,20,68,Red-spotted Admiral butterfly
Juglandaceae Carya,hickory,w,any,full sun,yellow,moist,40,20,224,Tuliptree silkmoth
Fagaceae Castanea,chestnut,w,any,full sun,green,moist,40,20,109,Polyphemus moth
Orobanchaceae Castilleja,Indian paintbrush,h,sandy,full sun,red,moist,1,6,3,common buckeye
Berberidaceae Caulophyllum,cohosh,h,any,partial shade,green,moist,1,6,3,Black-patched Clepsis Moth
Rhamnaceae Ceanothus,New Jersey tea,w,sandy,full sun,white,moist,5,20,38,Crocus Geometer moth
Celastraceae Celastrus,bittersweet,w,any,full sun,yellow,moist,10,20,6,Zigzag Herpetogramma
Ulmaceae Celtis,hackberry,w,any,full sun,green,moist,40,20,41,Hackberry Emperor Butterfly
Poaceae Cenchrus,sandbur,h,sandy,full sun,green,dry,3,6,3,Green Skipper butterfly
Fabaceae Centrosema,butterfly pea,h,sandy,full sun,blue,wet,3,6,4,Silver-spotted Skipper
Rubiaceae Cephalanthus,buttonbush,w,any,full sun,white,wet,8,20,25,Wood-Nymph
Caryophyllaceae Cerastium,chickweed,h,any,partial shade,white,moist,2,6,5,Capsule Moth
Fabaceae Cercis,redbud,w,loamy,partial shade,red,moist,35,20,22,Silver-spotted Skipper
Apiaceae Chaerophyllum,chervil,h,loamy,full sun,green,moist,1,6,1,Black Swallowtail
Fabaceae Chamaecrista,partridge pea,h,sandy,full sun,yellow,moist,2,6,7,Silver-spotted Skipper
Cupressaceae Chamaecyparis,Atlantic white cedar,w,sandy,full sun,green,wet,12,20,14,Whitemarked Tussock Moth
Ericaceae Chamaedaphne,leatherleaf,w,loamy,full sun,green,moist,3,20,10,Dull Reddish Dart moth
Onagraceae Chamaenerion,Fireweed,h,any,full sun,purple,moist,3,6,2,Fireweed Clearwing Moth
Poaceae Chasmanthium,woodoats,h,sandy,partial shade,green,moist,3,6,4,Green Skipper butterfly
Plantaginaceae Chelone,turtlehead,h,clay,full sun,pink,wet,2,6,4,Satyr Pug moth
Amaranthaceae Chenopodium,goosefoot,h,any,full sun,green,moist,2,6,35,Gorgone Checkerspot
Ericaceae Chimaphila,pipsissewa,h,sandy,full shade,pink,moist,2,6,2,Fine-Lined Gray moth
